family_id,domain,subject_keyword,relation,false_formal_control,false_functions_as,true_formal_control,true_functions_as,false_functions_effect,true_functions_effect,false_minus_true_interaction
U001,biology,ribosome,protein synthesis,-10.8671875,-10.61328125,10.09765625,9.64453125,0.25390625,-0.453125,0.70703125
U002,biology,neuron,neural signaling,-11.05078125,-10.91015625,9.4453125,8.91796875,0.140625,-0.52734375,0.66796875
U003,biology,gallbladder,bile storage,-11.6484375,-11.83984375,9.2578125,8.421875,-0.19140625,-0.8359375,0.64453125
U004,biology,xylem,water transport,-7.171875,-7.2734375,9.46875,9.23828125,-0.1015625,-0.23046875,0.12890625
U005,biology,alveolus,gas exchange,-9.3515625,-9.9140625,9.5546875,9.333984375,-0.5625,-0.220703125,-0.341796875
U006,biology,myelin sheath,axonal insulation,-11.31640625,-11.109375,9.37890625,8.92578125,0.20703125,-0.453125,0.66015625
U007,biology,red blood cell,oxygen transport,-10.44921875,-10.796875,9.8984375,9.41015625,-0.34765625,-0.48828125,0.140625
U008,biology,chloroplast,photosynthesis,-9.88671875,-10.0625,9.875,9.58203125,-0.17578125,-0.29296875,0.1171875
U009,biology,thyroid gland,thyroid hormone production,-10.5546875,-10.703125,9.23046875,8.9453125,-0.1484375,-0.28515625,0.13671875
U010,biology,stomach,digestion,-11.61328125,-11.65625,8.984375,8.71484375,-0.04296875,-0.26953125,0.2265625
U011,computing,router,packet forwarding,-10.49609375,-9.921875,10.392578125,10.109375,0.57421875,-0.283203125,0.857421875
U012,computing,Domain Name System,name resolution,-10.19921875,-10.15234375,9.53125,9.6171875,0.046875,0.0859375,-0.0390625
U013,computing,solid-state drive,nonvolatile storage,-5.875,-6.1171875,7.67578125,6.75,-0.2421875,-0.92578125,0.68359375
U014,physics,photodiode,optical signal detection,-9.953125,-9.78125,9.81640625,9.634765625,0.171875,-0.181640625,0.353515625
U015,computing,compiler,code translation,-9.37109375,-8.59375,9.21484375,9.392578125,0.77734375,0.177734375,0.599609375
U016,computing,firewall,traffic filtering,-10.9296875,-10.6171875,10.052734375,9.708984375,0.3125,-0.34375,0.65625
U017,computing,GPU,parallel computation,-10.7890625,-10.64453125,7.4765625,6.5546875,0.14453125,-0.921875,1.06640625
U018,computing,CPU cache,fast data access,-11.33203125,-10.94140625,10.14453125,10.001953125,0.390625,-0.142578125,0.533203125
U019,computing,operating system,resource management,-10.55859375,-10.609375,10.359375,10.4375,-0.05078125,0.078125,-0.12890625
U020,computing,database index,data retrieval,-11.58203125,-11.09375,9.94140625,10.0,0.48828125,0.05859375,0.4296875
U021,engineering,transformer,voltage transformation,-5.875,-7.11328125,9.34375,8.52734375,-1.23828125,-0.81640625,-0.421875
U022,engineering,fuse,overcurrent protection,-9.6953125,-10.05859375,8.984375,8.75390625,-0.36328125,-0.23046875,-0.1328125
U023,engineering,thermostat,temperature regulation,-10.9765625,-11.798828125,9.927734375,9.888671875,-0.822265625,-0.0390625,-0.783203125
U024,engineering,voltmeter,voltage measurement,-7.578125,-7.73046875,9.23046875,8.734375,-0.15234375,-0.49609375,0.34375
U025,engineering,accelerometer,acceleration measurement,-10.7734375,-10.9765625,9.673828125,8.984375,-0.203125,-0.689453125,0.486328125
U026,engineering,MEMS gyroscope,angular velocity measurement,-11.62890625,-11.70703125,9.5703125,9.375,-0.078125,-0.1953125,0.1171875
U027,engineering,microphone,sound transduction,8.30078125,8.02734375,9.4765625,9.41015625,-0.2734375,-0.06640625,-0.20703125
U028,engineering,loudspeaker,sound reproduction,8.4765625,8.20703125,9.78125,9.68359375,-0.26953125,-0.09765625,-0.171875
U029,engineering,photovoltaic cell,photovoltaic conversion,-10.6015625,-10.69921875,10.07421875,9.84765625,-0.09765625,-0.2265625,0.12890625
U030,engineering,catalytic converter,emissions control,-10.4765625,-10.62109375,10.357421875,9.94921875,-0.14453125,-0.408203125,0.263671875
