removed_family,remaining_n,remaining_mean,remaining_median,remaining_positive_rate
U001,29,-0.07765355603448276,-0.1015625,0.3448275862068966
U002,29,-0.07374730603448276,-0.1015625,0.3448275862068966
U003,29,-0.0622979525862069,-0.09765625,0.3793103448275862
U004,29,-0.06539601293103449,-0.09765625,0.3793103448275862
U005,29,-0.049501616379310345,-0.09765625,0.3793103448275862
U006,29,-0.07603717672413793,-0.1015625,0.3448275862068966
U007,29,-0.05691002155172414,-0.09765625,0.3793103448275862
U008,29,-0.06283674568965517,-0.09765625,0.3793103448275862
U009,29,-0.06377963362068965,-0.09765625,0.3793103448275862
U010,29,-0.06741648706896551,-0.1015625,0.3793103448275862
U011,29,-0.08869881465517242,-0.1015625,0.3448275862068966
U012,29,-0.07051454741379311,-0.1015625,0.3448275862068966
U013,29,-0.060546875,-0.09765625,0.3793103448275862
U014,29,-0.07482489224137931,-0.1015625,0.3448275862068966
U015,29,-0.095703125,-0.1015625,0.3448275862068966
U016,29,-0.0796740301724138,-0.1015625,0.3448275862068966
U017,29,-0.07388200431034483,-0.1015625,0.3448275862068966
U018,29,-0.08236799568965517,-0.1015625,0.3448275862068966
U019,29,-0.06714709051724138,-0.1015625,0.3793103448275862
U020,29,-0.08573545258620689,-0.1015625,0.3448275862068966
U021,29,-0.026198814655172414,-0.09765625,0.3793103448275862
U022,29,-0.05637122844827586,-0.09765625,0.3793103448275862
U023,29,-0.040544181034482756,-0.09765625,0.3793103448275862
U024,29,-0.06364493534482758,-0.09765625,0.3793103448275862
U025,29,-0.06189385775862069,-0.09765625,0.3793103448275862
U026,29,-0.06620420258620689,-0.1015625,0.3793103448275862
U027,29,-0.059469288793103446,-0.09765625,0.3793103448275862
U028,29,-0.05960398706896552,-0.09765625,0.3793103448275862
U029,29,-0.06553071120689655,-0.1015625,0.3793103448275862
U030,29,-0.06391433189655173,-0.09765625,0.3793103448275862
